ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
214,SHIMLA INDIA (INDIA),31.10N,77.20E,1882-9-01,1580.2,1545.4037
215,SHIMLA INDIA (INDIA),31.10N,77.20E,1883-9-01,1461.6,1545.4037
216,SHIMLA INDIA (INDIA),31.10N,77.20E,1884-9-01,1828.9,1545.4037
217,LUDHIANA INDIA (INDIA),30.90N,75.90E,1882-9-01,562.0,712.8683
218,LUDHIANA INDIA (INDIA),30.90N,75.90E,1883-9-01,809.0,712.8683
219,LUDHIANA INDIA (INDIA),30.90N,75.90E,1884-9-01,951.0,712.8683
220,BIKANER INDIA (INDIA),28.00N,73.30E,1882-9-01,316.0,297.9973
221,BIKANER INDIA (INDIA),28.00N,73.30E,1883-9-01,201.0,297.9973
222,BIKANER INDIA (INDIA),28.00N,73.30E,1884-9-01,330.0,297.9973
223,NEW DELHI/ INDIA (INDIA),28.60N,77.20E,1882-9-01,382.6,719.6769
224,NEW DELHI/ INDIA (INDIA),28.60N,77.20E,1883-9-01,668.5,719.6769
225,NEW DELHI/ INDIA (INDIA),28.60N,77.20E,1884-9-01,1387.0,719.6769
226,AGRA INDIA (INDIA),27.20N,78.00E,1882-9-01,483.0,711.1281
227,AGRA INDIA (INDIA),27.20N,78.00E,1883-9-01,554.0,711.1281
228,AGRA INDIA (INDIA),27.20N,78.00E,1884-9-01,1263.0,711.1281
229,DARJEELING INDIA (INDIA),27.10N,88.30E,1882-9-01,3472.0,2800.8539
230,DARJEELING INDIA (INDIA),27.10N,88.30E,1883-9-01,2502.0,2800.8539
231,DARJEELING INDIA (INDIA),27.10N,88.30E,1884-9-01,3359.0,2800.8539
232,JAIPUR/SANGANER INDIA (INDIA),26.80N,75.80E,1882-9-01,499.1,602.0245
233,JAIPUR/SANGANER INDIA (INDIA),26.80N,75.80E,1883-9-01,476.7,602.0245
234,JAIPUR/SANGANER INDIA (INDIA),26.80N,75.80E,1884-9-01,1084.6,602.0245
235,DARBHANGA INDIA (INDIA),26.20N,85.90E,1882-9-01,1390.0,1183.0236
236,DARBHANGA INDIA (INDIA),26.20N,85.90E,1883-9-01,535.0,1183.0236
237,DARBHANGA INDIA (INDIA),26.20N,85.90E,1884-9-01,1227.0,1183.0236
238,DHUBRI INDIA (INDIA),26.00N,90.00E,1882-9-01,2262.0,2498.0348
239,DHUBRI INDIA (INDIA),26.00N,90.00E,1883-9-01,1882.0,2498.0348
240,DHUBRI INDIA (INDIA),26.00N,90.00E,1884-9-01,2247.0,2498.0348
241,GAUHATI INDIA (INDIA),26.10N,91.60E,1882-9-01,1689.4,1667.1449
242,GAUHATI INDIA (INDIA),26.10N,91.60E,1883-9-01,1407.4,1667.1449
243,GAUHATI INDIA (INDIA),26.10N,91.60E,1884-9-01,1619.2,1667.1449
244,ALLAHABAD/BAMHRAULI INDIA (INDIA),25.50N,81.90E,1882-9-01,763.5,959.0653
245,ALLAHABAD/BAMHRAULI INDIA (INDIA),25.50N,81.90E,1883-9-01,716.3,959.0653
246,ALLAHABAD/BAMHRAULI INDIA (INDIA),25.50N,81.90E,1884-9-01,1168.7,959.0653
247,PATNA INDIA (INDIA),25.60N,85.10E,1882-9-01,1076.0,1147.319
248,PATNA INDIA (INDIA),25.60N,85.10E,1883-9-01,719.8,1147.319
249,PATNA INDIA (INDIA),25.60N,85.10E,1884-9-01,942.4,1147.319
250,CHERRAPUNJI INDIA (INDIA),25.30N,91.70E,1882-9-01,9784.2,10796.7222
251,CHERRAPUNJI INDIA (INDIA),25.30N,91.70E,1883-9-01,8758.9,10796.7222
252,CHERRAPUNJI INDIA (INDIA),25.30N,91.70E,1884-9-01,8809.3,10796.7222
253,SHILLONG INDIA (INDIA),25.60N,91.90E,1882-9-01,2231.9,2162.861
254,SHILLONG INDIA (INDIA),25.60N,91.90E,1883-9-01,1772.1,2162.861
255,SHILLONG INDIA (INDIA),25.60N,91.90E,1884-9-01,1445.8,2162.861
256,DEESA INDIA (INDIA),24.20N,72.20E,1882-9-01,346.0,604.8275
257,DEESA INDIA (INDIA),24.20N,72.20E,1883-9-01,999.3,604.8275
258,DEESA INDIA (INDIA),24.20N,72.20E,1884-9-01,881.4,604.8275
261,SILCHAR INDIA (INDIA),24.80N,92.80E,1884-9-01,2896.0,3171.0733
262,BHUJ INDIA (INDIA),23.30N,69.80E,1882-9-01,335.8,343.2009
263,BHUJ INDIA (INDIA),23.30N,69.80E,1883-9-01,483.6,343.2009
264,BHUJ INDIA (INDIA),23.30N,69.80E,1884-9-01,512.5,343.2009
265,RADHANPUR INDIA (INDIA),23.80N,71.60E,1882-9-01,593.9,513.3443
266,RADHANPUR INDIA (INDIA),23.80N,71.60E,1883-9-01,706.0,513.3443
267,RADHANPUR INDIA (INDIA),23.80N,71.60E,1884-9-01,778.5,513.3443
268,AHMEDABAD INDIA (INDIA),23.10N,72.60E,1882-9-01,504.7,777.3454
269,AHMEDABAD INDIA (INDIA),23.10N,72.60E,1883-9-01,733.8,777.3454
270,AHMEDABAD INDIA (INDIA),23.10N,72.60E,1884-9-01,813.1,777.3454
271,BARODA INDIA (INDIA),22.80N,72.30E,1882-9-01,1105.6,913.6445
272,BARODA INDIA (INDIA),22.80N,72.30E,1883-9-01,1081.3,913.6445
273,BARODA INDIA (INDIA),22.80N,72.30E,1884-9-01,957.3,913.6445
274,KAIRA INDIA (INDIA),22.80N,72.70E,1882-9-01,626.8,794.7384
275,KAIRA INDIA (INDIA),22.80N,72.70E,1883-9-01,1187.9,794.7384
276,KAIRA INDIA (INDIA),22.80N,72.70E,1884-9-01,1105.0,794.7384
277,IDAR INDIA (INDIA),23.80N,73.00E,1882-9-01,798.4,959.6119
278,IDAR INDIA (INDIA),23.80N,73.00E,1883-9-01,1098.4,959.6119
279,IDAR INDIA (INDIA),23.80N,73.00E,1884-9-01,1174.3,959.6119
280,SAGAR INDIA (INDIA),23.90N,78.80E,1882-9-01,729.0,1209.0322
281,SAGAR INDIA (INDIA),23.90N,78.80E,1883-9-01,1173.0,1209.0322
282,SAGAR INDIA (INDIA),23.90N,78.80E,1884-9-01,1393.0,1209.0322
283,DWARAKA INDIA (INDIA),22.40N,69.10E,1882-9-01,664.9,404.8274
285,DWARAKA INDIA (INDIA),22.40N,69.10E,1884-9-01,928.4,404.8274
286,RAJKOT INDIA (INDIA),22.30N,70.80E,1882-9-01,613.7,647.0968
287,RAJKOT INDIA (INDIA),22.30N,70.80E,1883-9-01,1048.0,647.0968
288,RAJKOT INDIA (INDIA),22.30N,70.80E,1884-9-01,773.9,647.0968
289,WADHAWAN/SUREND INDIA (INDIA),22.70N,71.70E,1882-9-01,373.0,495.8903
290,WADHAWAN/SUREND INDIA (INDIA),22.70N,71.70E,1883-9-01,457.4,495.8903
291,WADHAWAN/SUREND INDIA (INDIA),22.70N,71.70E,1884-9-01,848.1,495.8903
292,BARIA INDIA (INDIA),22.70N,73.90E,1882-9-01,1322.6,1056.1159
293,BARIA INDIA (INDIA),22.70N,73.90E,1883-9-01,1514.3,1056.1159
294,BARIA INDIA (INDIA),22.70N,73.90E,1884-9-01,1437.6,1056.1159
